index,movie_title,release_date,genre,inflation_adjusted_gross,divided
495,Waking Sleeping Beauty,2010,Documentary,86264,86,264
496,The Last Song,2010,Drama,67258772,67258,772
497,Oceans,2010,Documentary,20751600,20751,6
498,Prince of Persia: Sands of Time,2010,Action,96971361,96971,361
499,Toy Story 3,2010,Adventure,443408255,443408,255
500,The Sorcerers Apprentice,2010,Adventure,67473105,67473,105
501,Step Up 3D,2010,Drama,45302137,45302,137
502,Gedo Senki (Tales from Earthsea),2010,Adventure,51988,51,988
503,You Again,2010,Comedy,27461121,27461,121
504,Secretariat,2010,Drama,63781920,63781,92
505,Tangled,2010,Adventure,214388548,214388,548
506,Tron: Legacy,2010,Adventure,183619259,183619,259
507,Gnomeo and Juliet,2011,Comedy,106270797,106270,797
508,I am Number Four,2011,Adventure,58574607,58574,607
509,Mars Needs Moms,2011,Adventure,22741603,22741,603
510,African Cats,2011,Documentary,16401551,16401,551
511,Zokkomon,2011,Adventure,2984,2,984
512,Prom,2011,Comedy,10768946,10768,946
513,Pirates of the Caribbean: On Stranger Tides,2011,Adventure,256263359,256263,359
514,Cars 2,2011,Adventure,203522177,203522,177
515,Winnie the Pooh,2011,Adventure,28375869,28375,869
516,The Help,2011,Drama,180404976,180404,976
517,Fright Night,2011,Horror,19452402,19452,402
518,Real Steel,2011,Action,90848019,90848,019
519,The Muppets,2011,Comedy,94189503,94189,503
520,War Horse,2011,Drama,84762149,84762,149
521,The Secret World of Arietty,2012,Adventure,20325733,20325,733
522,John Carter,2012,Adventure,77372445,77372,445
523,Chimpanzee,2012,Documentary,30675725,30675,725
524,The Avengers,2012,Action,660081224,660081,224
525,Brave,2012,Adventure,251292441,251292,441
526,People Like Us,2012,Drama,13165822,13165,822
527,The Odd Life of Timothy Green,2012,Drama,54914942,54914,942
528,Frankenweenie,2012,Comedy,37363513,37363,513
529,Wreck-It Ralph,2012,Adventure,200354959,200354,959
530,Lincoln,2012,Drama,192122330,192122,33
531,Oz the Great and Powerful,2013,Adventure,243434130,243434,13
532,Iron Man 3,2013,Action,424084233,424084,233
533,Monsters University,2013,Adventure,278395641,278395,641
534,The Lone Ranger,2013,Western,92597388,92597,388
535,Disney Planes,2013,Comedy,93614037,93614,037
536,The Fifth Estate,2013,Drama,3374251,3374,251
537,Thor: The Dark World,2013,Adventure,213962184,213962,184
538,Kaze Tachinu,2013,Drama,5367415,5367,415
539,Frozen,2013,Adventure,414997174,414997,174
540,Delivery Man,2013,Comedy,31787136,31787,136
541,Saving Mr Banks,2013,Drama,86249969,86249,969
542,Need for Speed,2014,Action,44955015,44955,015
543,Muppets Most Wanted,2014,Comedy,52807594,52807,594
544,Captain America: The Winter Soldier,2014,Action,268013076,268013,076
545,Bears,2014,Documentary,18346024,18346,024
546,Million Dollar Arm,2014,Drama,37607865,37607,865
547,Maleficent,2014,Adventure,249089809,249089,809
548,Planes: Fire and Rescue,2014,Adventure,61040349,61040,349
549,Guardians of the Galaxy,2014,Adventure,343771168,343771,168
550,The Hundred-Foot Journey,2014,Romantic Comedy,55961409,55961,409
551,Alexander and the Terrible Horrible No Good Very Bad Day,2014,Comedy,69055550,69055,55
552,Big Hero 6,2014,Adventure,229249222,229249,222
553,Into the Woods,2014,Musical,130894237,130894,237
554,Strange Magic,2015,Adventure,12429583,12429,583
555,McFarland USA,2015,Drama,44480275,44480,275
556,Cinderella,2015,Drama,201151353,201151,353
557,Monkey Kingdom,2015,Documentary,16432322,16432,322
558,Avengers: Age of Ultron,2015,Action,459005868,459005,868
559,Tomorrowland,2015,Adventure,93436322,93436,322
560,Inside Out,2015,Adventure,356461711,356461,711
561,Ant-Man,2015,Action,180202163,180202,163
562,Bridge of Spies,2015,Thriller/Suspense,72313754,72313,754
563,The Good Dinosaur,2015,Adventure,123087120,123087,12
564,Star Wars Ep VII: The Force Awakens,2015,Adventure,936662225,936662,225
565,The Finest Hours,2016,Thriller/Suspense,27569558,27569,558
566,Zootopia,2016,Adventure,341268248,341268,248
567,The Jungle Book,2016,Adventure,364001123,364001,123
568,A Beautiful Planet,2016,Documentary,7895708,7895,708
569,Captain America: Civil War,2016,Action,408084349,408084,349
570,Alice Through the Looking Glass,2016,Adventure,77042381,77042,381
571,Finding Dory,2016,Adventure,486295561,486295,561
572,The BFG,2016,Adventure,55483770,55483,77
573,Pete’s Dragon,2016,Adventure,76233151,76233,151
574,The Light Between Oceans,2016,Drama,12545979,12545,979
575,Queen of Katwe,2016,Drama,8874389,8874,389
576,Doctor Strange,2016,Adventure,232532923,232532,923
577,Moana,2016,Adventure,246082029,246082,029
578,Rogue One: A Star Wars Story,2016,Adventure,529483936,529483,936
