index,movie_title,release_date,genre,inflation_adjusted_gross,divided
114,Beauty and the Beast,1991,Musical,363017667,363017,667
115,Father of the Bride,1991,Comedy,179821881,179821,881
116,The Hand That Rocks the Cradle,1992,Thriller/Suspense,178831137,178831,137
117,Medicine Man,1992,Drama,91304495,91304,495
118,Blame it on the Bellboy,1992,Comedy,5872667,5872,667
119,Noises Off,1992,Comedy,4631720,4631,72
120,Straight Talk,1992,Comedy,43068356,43068,356
121,Newsies,1992,Unknown,5497481,5497,481
122,Passed Away,1992,Unknown,8187848,8187,848
123,Encino Man,1992,Comedy,81369058,81369,058
124,Sister Act,1992,Comedy,283583472,283583,472
125,Honey I Blew Up the Kid,1992,Comedy,119162518,119162,518
126,A Stranger Among Us,1992,Drama,24950752,24950,752
127,3 Ninjas,1992,Action,58965304,58965,304
128,A Gun in Betty Lous Handbag,1992,Unknown,7295423,7295,423
129,Captain Ron,1992,Comedy,45741576,45741,576
130,Sarafina!,1992,Drama,14841352,14841,352
131,Innocent Blood,1992,Horror,9907922,9907,922
132,The Mighty Ducks,1992,Comedy,103120810,103120,81
133,1492: Conquest of Paradise,1992,Adventure,14421454,14421,454
134,Consenting Adults,1992,Drama,43859823,43859,823
135,Aladdin,1992,Comedy,441969178,441969,178
136,The Distinguished Gentleman,1992,Comedy,94349900,94349,9
137,The Muppet Christmas Carol,1992,Comedy,55417615,55417,615
138,Alive,1993,Adventure,73914543,73914,543
139,Aspen Extreme,1993,Romantic Comedy,15970955,15970,955
140,Homeward Bound: The Incredible Journey,1993,Adventure,85182343,85182,343
141,The Cemetery Club,1993,Comedy,11369541,11369,541
142,Swing Kids,1993,Musical,11468231,11468,231
143,A Far Off Place,1993,Adventure,26248558,26248,558
144,Born Yesterday,1993,Romantic Comedy,36165012,36165,012
145,The Adventures of Huck Finn,1993,Adventure,49080505,49080,505
146,Bound by Honor,1993,Unknown,9156084,9156,084
147,Indian Summer,1993,Comedy,29968953,29968,953
148,Super Mario Bros,1993,Action,42445058,42445,058
149,Guilty as Sin,1993,Thriller/Suspense,46064723,46064,723
150,Life With Mikey,1993,Comedy,25146538,25146,538
151,Whats Love Got to Do With It,1993,Drama,79618610,79618,61
152,Son in Law,1993,Comedy,52921433,52921,433
153,Hocus Pocus,1993,Comedy,80147079,80147,079
154,Another Stakeout,1993,Comedy,40943541,40943,541
155,My Boyfriends Back,1993,Unknown,6554384,6554,384
156,Father Hood,1993,Unknown,6654819,6654,819
157,The Joy Luck Club,1993,Drama,66768171,66768,171
158,Money for Nothing,1993,Comedy,2127496,2127,496
159,The Program,1993,Action,46919256,46919,256
160,Cool Runnings,1993,Comedy,140392731,140392,731
161,The Nightmare Before Christmas,1993,Musical,100026637,100026,637
162,The Three Musketeers,1993,Adventure,109310377,109310,377
163,Sister Act 2 Back in the Habit,1993,Comedy,116965668,116965,668
164,Tombstone,1993,Western,115781734,115781,734
165,The Air Up There,1994,Comedy,42940186,42940,186
166,Cabin Boy,1994,Comedy,7168577,7168,577
167,Iron Will,1994,Drama,42610902,42610,902
168,Red Rock West,1994,Unknown,5170709,5170,709
169,Blank Check,1994,Comedy,63170804,63170,804
170,Angie,1994,Comedy,19116981,19116,981
171,The Ref,1994,Comedy,23401275,23401,275
172,D2: The Mighty Ducks,1994,Comedy,94226333,94226,333
173,Holy Matrimony,1994,Comedy,1473665,1473,665
174,White Fang 2: Myth of the White Wolf,1994,Adventure,18083994,18083,994
175,The Inkwell,1994,Comedy,18316030,18316,03
176,When a Man Loves a Woman,1994,Drama,103354194,103354,194
177,3 Ninjas Kick Back,1994,Action,24267154,24267,154
178,Renaissance Man,1994,Comedy,49945474,49945,474
179,The Lion King,1994,Adventure,761640898,761640,898
180,I Love Trouble,1994,Romantic Comedy,63651027,63651,027
181,Angels in the Outfield,1994,Comedy,103798152,103798,152
182,In the Army Now,1994,Comedy,59673787,59673,787
183,Color of Night,1994,Thriller/Suspense,40804816,40804,816
184,Camp Nowhere,1994,Comedy,21576332,21576,332
185,Its Pat,1994,Comedy,125666,125,666
186,A Simple Twist of Fate,1994,Drama,7035189,7035,189
187,Quiz Show,1994,Drama,50840394,50840,394
188,Terminal Velocity,1994,Action,34048315,34048,315
189,Ed Wood,1994,Comedy,12042634,12042,634
190,The Puppet Masters,1994,Horror,17727017,17727,017
191,Squanto: A Warriors Tale,1994,Drama,6858345,6858,345
192,The Santa Clause,1994,Comedy,298369717,298369,717
193,A Low Down Dirty Shame,1994,Action,60321919,60321,919
194,The Jungle Book,1994,Adventure,88930321,88930,321
195,Houseguest,1995,Comedy,51016522,51016,522
196,Bad Company,1995,Thriller/Suspense,6829092,6829,092
197,Miami Rhapsody,1995,Romantic Comedy,9857435,9857,435
198,The Jerky Boys,1995,Comedy,14641561,14641,561
199,Heavy Weights,1995,Comedy,34245779,34245,779
200,Man of the House,1995,Comedy,77573459,77573,459
201,Roommates,1995,Comedy,23404369,23404,369
202,Tall Tale,1995,Western,15983331,15983,331
203,A Pyromaniacs Love Story,1995,Romantic Comedy,907414,907,414
204,Jefferson in Paris,1995,Drama,4770461,4770,461
205,Funny Bones,1995,Comedy,1025425,1025,425
206,A Goofy Movie,1995,Comedy,68479579,68479,579
207,While You Were Sleeping,1995,Romantic Comedy,157082900,157082,9
208,Crimson Tide,1995,Action,177102077,177102,077
209,Mad Love,1995,Drama,29934306,29934,306
210,Pocahontas,1995,Adventure,274370957,274370,957
211,Judge Dredd,1995,Action,67222776,67222,776
212,Operation Dumbo Drop,1995,Adventure,47809421,47809,421
213,Dangerous Minds,1995,Drama,164552293,164552,293
214,A Kid in King Arthurs Court,1995,Adventure,25981285,25981,285
215,The Tie That Binds,1995,Thriller/Suspense,11167895,11167,895
216,Unstrung Heroes,1995,Drama,15365850,15365,85
217,The Big Green,1995,Comedy,34372339,34372,339
218,Dead Presidents,1995,Drama,46741467,46741,467
219,The Scarlet Letter,1995,Drama,20075033,20075,033
220,Feast of July,1995,Drama,568342,568,342
221,Powder,1995,Drama,59727216,59727,216
222,Toy Story,1995,Adventure,370409631,370409,631
223,Father of the Bride Part II,1995,Comedy,147658438,147658,438
224,Nixon,1995,Drama,26302005,26302,005
225,Tom and Huck,1995,Adventure,45911517,45911,517
226,Mr Hollands Opus,1995,Drama,157508868,157508,868
227,White Squall,1996,Adventure,19509726,19509,726
228,Muppet Treasure Island,1996,Adventure,65470567,65470,567
229,Mr Wrong,1996,Romantic Comedy,24422334,24422,334
230,Before and After,1996,Drama,16482589,16482,589
231,Up Close & Personal,1996,Drama,97356578,97356,578
232,Homeward Bound II: Lost in San Francisco,1996,Adventure,62384706,62384,706
233,Two Much,1996,Romantic Comedy,2057055,2057,055
234,Un indien dans la ville,1996,Comedy,1963937,1963,937
235,James and the Giant Peach,1996,Adventure,55159783,55159,783
236,Celtic Pride,1996,Comedy,17623615,17623,615
237,Last Dance,1996,Drama,11171714,11171,714
238,Boys,1996,Drama,41826566,41826,566
